Indexes,RF,LR,MLP
0,,,
1,,,
2,,,
3,68.1,71.4,70.0
4,79.2,76.8,77.2
5,79.2,83.0,80.6
6,84.5,89.8,87.9
7,81.6,81.1,82.6
8,85.0,88.8,86.9
9,86.9,80.6,86.4
10,88.8,82.1,87.9
11,85.9,83.5,87.4
12,76.3,77.7,76.8
13,82.1,84.0,85.0
14,90.8,90.8,94.2
15,90.8,86.9,92.7
16,88.8,87.4,88.8
17,91.3,88.8,91.3
18,82.1,84.0,84.5
19,92.7,94.6,93.2
20,91.3,93.2,93.7
21,94.6,95.1,95.1
22,96.1,94.2,94.6
23,94.2,95.1,97.5
24,94.6,94.6,93.7
25,93.7,94.2,94.2
26,84.0,87.4,87.4
27,85.0,85.0,87.9
28,87.4,89.3,90.8
29,86.4,85.9,91.3
30,86.4,87.4,87.9
31,78.2,75.8,80.1
32,89.3,87.4,89.3
33,86.9,86.4,90.3
34,89.8,88.8,89.3
35,88.4,87.9,90.3
36,88.8,90.8,93.2
37,89.3,89.3,90.8
38,84.5,85.9,88.4
39,89.8,88.8,90.8
40,,,
41,88.8,86.4,88.8
42,93.7,92.7,93.7
43,94.2,94.2,94.2
44,93.7,96.6,96.6
45,89.8,90.8,92.7
46,,,
47,86.4,81.1,87.4
48,95.1,94.2,95.1
